name	type	units	sampling_frequency
LiveAmpSN-102108-1139_Fp1	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_Fz	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_F3	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_F7	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_FT9	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_FC5	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_FC1	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_C3	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_T7	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_TP9	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_CP5	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_CP1	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_Pz	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_P3	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_P7	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_O1	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_Oz	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_O2	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_P4	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_P8	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_TP10	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_CP6	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_CP2	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_Cz	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_C4	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_T8	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_FT10	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_FC6	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_FC2	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_F4	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_F8	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_Fp2	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_AF7	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_AF3	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_AFz	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_F1	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_F5	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_FT7	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_FC3	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_C1	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_C5	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_TP7	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_CP3	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_P1	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_P5	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_PO7	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_PO3	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_POz	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_PO4	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_PO8	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_P6	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_P2	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_CPz	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_CP4	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_TP8	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_C6	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_C2	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_FC4	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_FT8	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_F6	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_AF8	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_AF4	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_F2	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_Iz	EEG	microvolts	499.924238670724
LiveAmpSN-102108-1139_ACC_X	ACC	milliGs	499.924238670724
LiveAmpSN-102108-1139_ACC_Y	ACC	milliGs	499.924238670724
LiveAmpSN-102108-1139_ACC_Z	ACC	milliGs	499.924238670724
